fen,move
r4rk1/1ppqbpp1/pn2pnp1/3pN3/3P1B2/2PBP3/PPQ2PPP/2KR3R b - - 3 13,Qe8
r3qrk1/1pp1bpp1/pn2pnp1/3pN3/3P1B1P/2PBP3/PPQ2PP1/2KR3R b - - 0 14,Nfd7
r3qrk1/1ppnbpp1/pn2p1p1/3pN2P/3P1B2/2PBP3/PPQ2PP1/2KR3R b - - 0 15,gxh5
r3qrk1/1ppnbppB/pn2p3/3pN2p/3P1B2/2P1P3/PPQ2PP1/2KR3R b - - 1 16,Kh8
r3qr1k/1ppnbppB/pn2p3/3pN2R/3P1B2/2P1P3/PPQ2PP1/2KR4 b - - 0 17,Nxe5
r3qrBk/1pp1bpp1/pn2p3/3pn2R/3P1B2/2P1P3/PPQ2PP1/2KR4 b - - 1 18,Kxg8
rnbqkbnr/pppppppp/8/8/8/8/PPPPPPPP/RNBQKBNR w KQkq - 0 1,e4
rnbqkbnr/pp1ppppp/8/2p5/4P3/8/PPPP1PPP/RNBQKBNR w KQkq - 0 2,Nf3
rnbqkb1r/pp1ppppp/5n2/2p5/4P3/5N2/PPPP1PPP/RNBQKB1R w KQkq - 2 3,e5
rnbqkbnr/pp1ppppp/8/2p1P3/8/5N2/PPPP1PPP/RNBQKB1R w KQkq - 1 4,d4
rnbqkbnr/pp1ppppp/8/4P3/3p4/5N2/PPP2PPP/RNBQKB1R w KQkq - 0 5,Qxd4
r1bqkbnr/pp1ppppp/2n5/4P3/3Q4/5N2/PPP2PPP/RNB1KB1R w KQkq - 1 6,Qd1
r1bqkbnr/pp1ppp1p/2n3p1/4P3/8/5N2/PPP2PPP/RNBQKB1R w KQkq - 0 7,Nc3
r1bqk1nr/pp1pppbp/2n3p1/4P3/8/2N2N2/PPP2PPP/R1BQKB1R w KQkq - 2 8,Bf4
r1bqk1nr/pp1p1pbp/2n1p1p1/4P3/5B2/2N2N2/PPP2PPP/R2QKB1R w KQkq - 0 9,Bd3
r1bqk2r/pp1pnpbp/2n1p1p1/4P3/5B2/2NB1N2/PPP2PPP/R2QK2R w KQkq - 2 10,O-O
r1bq1rk1/pp1pnpbp/2n1p1p1/4P3/5B2/2NB1N2/PPP2PPP/R2Q1RK1 w - - 4 11,Re1
r1bq1rk1/1p1pnpbp/p1n1p1p1/4P3/5B2/2NB1N2/PPP2PPP/R2QR1K1 w - - 0 12,Qd2
r1bq1rk1/3pnpbp/p1n1p1p1/1p2P3/5B2/2NB1N2/PPPQ1PPP/R3R1K1 w - - 0 13,Bh6
r2q1rk1/1b1pnpbp/p1n1p1pB/1p2P3/8/2NB1N2/PPPQ1PPP/R3R1K1 w - - 2 14,Bxg7
r2q1r2/1b1pnpkp/p1n1p1p1/1p2P3/8/2NB1N2/PPPQ1PPP/R3R1K1 w - - 0 15,Qg5
2rq1r2/1b1pnpkp/p1n1p1p1/1p2P1Q1/8/2NB1N2/PPP2PPP/R3R1K1 w - - 2 16,Qh4
1nrq1r2/1b1pnpkp/p3p1p1/1p2P3/7Q/2NB1N2/PPP2PPP/R3R1K1 w - - 4 17,Ng5
1nrq1r2/1b1pnpk1/p3p1pp/1p2P1N1/7Q/2NB4/PPP2PPP/R3R1K1 w - - 0 18,Nh3
1nrq1r2/1b1p1pk1/p3p1pp/1p1nP3/7Q/2NB3N/PPP2PPP/R3R1K1 w - - 2 19,Qxd8
1n1r1r2/1b1p1pk1/p3p1pp/1p1nP3/8/2NB3N/PPP2PPP/R3R1K1 w - - 0 20,Nxd5
1n1r1r2/3p1pk1/p3p1pp/1p1bP3/8/3B3N/PPP2PPP/R3R1K1 w - - 0 21,Rad1
3r1r2/3p1pk1/p1n1p1pp/1p1bP3/8/3B3N/PPP2PPP/3RR1K1 w - - 2 22,b3
3r1r2/3pnpk1/p3p1pp/1p1bP3/8/1P1B3N/P1P2PPP/3RR1K1 w - - 1 23,c4
3r1r2/3pnpk1/p3p1pp/3bP3/2p5/1P1B3N/P4PPP/3RR1K1 w - - 0 24,Bxc4
3r1r2/1b1pnpk1/p3p1pp/4P3/2B5/1P5N/P4PPP/3RR1K1 w - - 1 25,Rd2
3r1r2/1b1p1pk1/p3p1pp/4Pn2/2B5/1P5N/P2R1PPP/4R1K1 w - - 3 26,Red1
3r1r2/1b3pk1/p2pp1pp/4Pn2/2B5/1P5N/P2R1PPP/3R2K1 w - - 0 27,exd6
5r2/1b1r1pk1/p2Pp1pp/5n2/2B5/1P5N/P2R1PPP/3R2K1 w - - 1 28,Nf4
3r4/1b1r1pk1/p2Pp1pp/5n2/2B2N2/1P6/P2R1PPP/3R2K1 w - - 3 29,g4
3r4/1b1r1pk1/p2np1pp/8/2B2NP1/1P6/P2R1P1P/3R2K1 w - - 0 30,f3
3r4/3r1pk1/p1bnp1pp/8/2B2NP1/1P3P2/P2R3P/3R2K1 w - - 1 31,Bxa6
3rn3/3r1pk1/B1b1p1pp/8/5NP1/1P3P2/P2R3P/3R2K1 w - - 1 32,Rxd7
rnbqkbnr/pppppppp/8/8/8/8/PPPPPPPP/RNBQKBNR w KQkq - 0 1,e4
rnbqkbnr/ppp1pppp/8/3p4/4P3/8/PPPP1PPP/RNBQKBNR w KQkq - 0 2,exd5
rnbqkbnr/ppp2ppp/4p3/3P4/8/8/PPPP1PPP/RNBQKBNR w KQkq - 0 3,dxe6
rn1qkbnr/ppp2ppp/4b3/8/8/8/PPPP1PPP/RNBQKBNR w KQkq - 0 4,Nf3
rn1qkb1r/ppp2ppp/4bn2/8/8/5N2/PPPP1PPP/RNBQKB1R w KQkq - 2 5,Bb5+
rn1qkb1r/pp3ppp/2p1bn2/1B6/8/5N2/PPPP1PPP/RNBQK2R w KQkq - 0 6,Ba4
r2qkb1r/pp1n1ppp/2p1bn2/8/B7/5N2/PPPP1PPP/RNBQK2R w KQkq - 2 7,O-O
r2qkb1r/pp3ppp/1np1bn2/8/B7/5N2/PPPP1PPP/RNBQ1RK1 w kq - 4 8,Bb3
r2qk2r/pp3ppp/1np1bn2/2b5/8/1B3N2/PPPP1PPP/RNBQ1RK1 w kq - 6 9,Re1
r2qk2r/pp3ppp/1np1b3/2bn4/8/1B3N2/PPPP1PPP/RNBQR1K1 w kq - 8 10,Nc3
r2q1rk1/pp3ppp/1np1b3/2bn4/8/1BN2N2/PPPP1PPP/R1BQR1K1 w - - 10 11,d4
r2q1rk1/pp3ppp/1np1b3/2b5/3P4/1Bn2N2/PPP2PPP/R1BQR1K1 w - - 0 12,bxc3
r2q1rk1/pp2bppp/1np1b3/8/3P4/1BP2N2/P1P2PPP/R1BQR1K1 w - - 1 13,Bxe6
r2q1rk1/pp2b1pp/1np1p3/8/3P4/2P2N2/P1P2PPP/R1BQR1K1 w - - 0 14,Rxe6
r4rk1/pp2b1pp/1np1R3/3q4/3P4/2P2N2/P1P2PPP/R1BQ2K1 w - - 1 15,Qe2
r4rk1/pp4pp/1np1Rb2/3q4/3P4/2P2N2/P1P1QPPP/R1B3K1 w - - 3 16,Ba3
r2r2k1/pp4pp/1np1Rb2/3q4/3P4/B1P2N2/P1P1QPPP/R5K1 w - - 5 17,Re1
r2r4/pp3kpp/1np1Rb2/3q4/3P4/B1P2N2/P1P1QPPP/4R1K1 w - - 7 18,Be7
r2r4/pp2bkpp/1np1R3/3q4/3P4/2P2N2/P1P1QPPP/4R1K1 w - - 0 19,Rxe7+
r2r1k2/pp2R1pp/1np5/3q4/3P4/2P2N2/P1P1QPPP/4R1K1 w - - 1 20,Re5
r2r1k2/pp3qpp/1np5/4R3/3P4/2P2N2/P1P1QPPP/4R1K1 w - - 3 21,Ng5
r2r1k2/pp4pp/1np3q1/4R1N1/3P4/2P5/P1P1QPPP/4R1K1 w - - 5 22,Qf3+
r2r2k1/pp4pp/1np3q1/4R1N1/3P4/2P2Q2/P1P2PPP/4R1K1 w - - 7 23,Ne6
r4rk1/pp4pp/1np1N1q1/4R3/3P4/2P2Q2/P1P2PPP/4R1K1 w - - 9 24,Nxf8
5rk1/pp4pp/1np3q1/4R3/3P4/2P2Q2/P1P2PPP/4R1K1 w - - 0 25,Qe4
5rk1/pp4pp/1np5/4R3/3Pq3/2P5/P1P2PPP/4R1K1 w - - 0 26,R5xe4
5rk1/pp4pp/2p5/3n4/3PR3/2P5/P1P2PPP/4R1K1 w - - 1 27,Re8
4Rrk1/pp4pp/2p5/8/3P4/2n5/P1P2PPP/4R1K1 w - - 0 28,Rxf8+
5k2/pp4pp/2p5/8/3P4/2n5/P1P2PPP/4R1K1 w - - 0 29,Re3
5k2/pp4pp/2p5/8/3P4/4R3/P1P2PPP/3n2K1 w - - 2 30,Re1
5k2/pp4pp/2p5/8/3P4/8/PnP2PPP/4R1K1 w - - 4 31,Kf1
5k2/pp4pp/2p5/8/2nP4/8/P1P2PPP/4RK2 w - - 6 32,Rd1
8/pp2k1pp/2p5/8/2nP4/8/P1P2PPP/3R1K2 w - - 8 33,Ke2
8/pp4pp/2pk4/8/2nP4/8/P1P1KPPP/3R4 w - - 10 34,Kd3
8/pp4pp/2p5/3k4/2nP4/3K4/P1P2PPP/3R4 w - - 12 35,Ke2
8/1p4pp/2p5/p2k4/2nP4/8/P1P1KPPP/3R4 w - - 0 36,Rd3
8/1p4pp/2p5/p2k4/3P4/3R4/PnP1KPPP/8 w - - 2 37,Rh3
8/1p4pp/2p5/p7/3k4/7R/PnP1KPPP/8 w - - 0 38,Rg3
8/1p4pp/2p5/p1k5/8/6R1/PnP1KPPP/8 w - - 2 39,Rxg7
8/1p4Rp/2p5/p1k5/2n5/8/P1P1KPPP/8 w - - 1 40,Rxh7
8/7R/2p5/ppk5/2n5/8/P1P1KPPP/8 w - - 0 41,h4
8/7R/2p5/ppk1n3/7P/8/P1P1KPP1/8 w - - 1 42,Rh5
rnbqkbnr/pppppppp/8/8/8/8/PPPPPPPP/RNBQKBNR w KQkq - 0 1,e4
rnbqkbnr/pppp1ppp/8/4p3/4P3/8/PPPP1PPP/RNBQKBNR w KQkq - 0 2,Nf3
r1bqkbnr/pppp1ppp/2n5/4p3/4P3/5N2/PPPP1PPP/RNBQKB1R w KQkq - 2 3,Bc4
r1bqk1nr/pppp1ppp/2n5/2b1p3/2B1P3/5N2/PPPP1PPP/RNBQK2R w KQkq - 4 4,b4
r1bqk1nr/pppp1ppp/2n5/4p3/1bB1P3/5N2/P1PP1PPP/RNBQK2R w KQkq - 0 5,c3
r1bqk1nr/pppp1ppp/2n5/b3p3/2B1P3/2P2N2/P2P1PPP/RNBQK2R w KQkq - 1 6,d4
r1bqk1nr/pppp1ppp/2n5/b7/2BpP3/2P2N2/P4PPP/RNBQK2R w KQkq - 0 7,Qb3
r1bqk1nr/pppp1ppp/2n5/8/2BpP3/1Qb2N2/P4PPP/RNB1K2R w KQkq - 0 8,Nxc3
r1bqk1nr/pppp1ppp/2n5/8/2B1P3/1Qp2N2/P4PPP/R1B1K2R w KQkq - 0 9,Bxf7+
r1bq1knr/pppp1Bpp/2n5/8/4P3/1Qp2N2/P4PPP/R1B1K2R w KQ - 1 10,Ba3+
r1bq1knr/ppp2Bpp/2np4/8/4P3/BQp2N2/P4PPP/R3K2R w KQ - 0 11,Bh5
r1b2knr/ppp1q1pp/2np4/7B/4P3/BQp2N2/P4PPP/R3K2R w KQ - 2 12,O-O
r4knr/ppp1q1pp/2npb3/7B/4P3/BQp2N2/P4PPP/R4RK1 w - - 4 13,Qxb7
1r3knr/pQp1q1pp/2npb3/7B/4P3/B1p2N2/P4PPP/R4RK1 w - - 1 14,Qxc6
1r3k1r/p1p1q1pp/2Qpbn2/7B/4P3/B1p2N2/P4PPP/R4RK1 w - - 1 15,e5
1r3k1r/p1p1q1pp/2Qpb3/4P2n/8/B1p2N2/P4PPP/R4RK1 w - - 0 16,exd6
1r3k1r/p1pq2pp/2QPb3/7n/8/B1p2N2/P4PPP/R4RK1 w - - 1 17,dxc7+
1r5r/p1Pq1kpp/2Q1b3/7n/8/B1p2N2/P4PPP/R4RK1 w - - 1 18,Qxd7+
1r5r/p1Pb1kpp/8/7n/8/B1p2N2/P4PPP/R4RK1 w - - 0 19,cxb8=Q
1r6/p2b1kpp/8/7n/8/B1p2N2/P4PPP/R4RK1 w - - 0 20,Rab1
8/p2b1kpp/8/7n/8/B1p2N2/P4PPP/1r3RK1 w - - 0 21,Rxb1
8/p2b1kpp/8/7n/8/B4N2/P1p2PPP/1R4K1 w - - 0 22,Rc1
8/p4kpp/8/5b1n/8/B4N2/P1p2PPP/2R3K1 w - - 2 23,g4
8/p4kpp/8/7n/6b1/B4N2/P1p2P1P/2R3K1 w - - 0 24,Rxc2
8/p4kpp/8/7n/8/B4b2/P1R2P1P/6K1 w - - 0 25,Rc3
8/p4kpp/8/7n/6b1/B1R5/P4P1P/6K1 w - - 2 26,h3
8/p4kpp/4b3/7n/8/B1R4P/P4P2/6K1 w - - 1 27,Rf3+
4k3/p5pp/4b3/7n/8/B4R1P/P4P2/6K1 w - - 3 28,Re3
8/p2k2pp/4b3/7n/8/B3R2P/P4P2/6K1 w - - 5 29,f4
8/p2k2pp/4b3/8/5n2/B3R2P/P7/6K1 w - - 0 30,Rf3
8/p2k2pp/4b3/8/8/B4R1P/P3n3/6K1 w - - 2 31,Kf2
8/p2k2pp/4b3/8/3n4/B4R1P/P4K2/8 w - - 4 32,Rd3
8/p5pp/2k1b3/8/3n4/B2R3P/P4K2/8 w - - 6 33,Rxd4
rnbqkbnr/pppppppp/8/8/8/5N2/PPPPPPPP/RNBQKB1R b KQkq - 1 1,d5
rnbqkbnr/ppp1pppp/8/3p4/3P4/5N2/PPP1PPPP/RNBQKB1R b KQkq - 0 2,Nc6
r1bqkbnr/ppp1pppp/2n5/3p4/3P4/4PN2/PPP2PPP/RNBQKB1R b KQkq - 0 3,e5
r1bqkbnr/ppp2ppp/2n5/3pP3/8/4PN2/PPP2PPP/RNBQKB1R b KQkq - 0 4,f6
r1bqkbnr/ppp3pp/2n2P2/3p4/8/4PN2/PPP2PPP/RNBQKB1R b KQkq - 0 5,Nxf6
r1bqkb1r/ppp3pp/2n2n2/1B1p4/8/4PN2/PPP2PPP/RNBQK2R b KQkq - 1 6,Bd7
r2qkb1r/pppb2pp/2B2n2/3p4/8/4PN2/PPP2PPP/RNBQK2R b KQkq - 0 7,Bxc6
r2qkb1r/ppp3pp/2b2n2/3p4/8/4PN2/PPP2PPP/RNBQ1RK1 b kq - 1 8,Qd6
r3kb1r/ppp3pp/2bq1n2/3p4/3N4/4P3/PPP2PPP/RNBQ1RK1 b kq - 3 9,O-O-O
2kr1b1r/ppp3pp/2Nq1n2/3p4/8/4P3/PPP2PPP/RNBQ1RK1 b - - 0 10,Qxc6
2kr1b1r/ppp3pp/2q2n2/3p4/8/2P1P3/PP3PPP/RNBQ1RK1 b - - 0 11,h5
2kr1b1r/ppp3p1/2q2n2/3p3p/8/1PP1P3/P4PPP/RNBQ1RK1 b - - 0 12,Ng4
2kr1b1r/ppp3p1/2q5/3p3p/6n1/BPP1P3/P4PPP/RN1Q1RK1 b - - 2 13,h4
2kr1B1r/ppp3p1/2q5/3p4/6np/1PP1P3/P4PPP/RN1Q1RK1 b - - 0 14,Rdxf8
2k2r1r/ppp3p1/2q5/3p4/6Qp/1PP1P3/P4PPP/RN3RK1 b - - 0 15,Kb8
1k3r1r/ppp3p1/2q5/3p4/2P3Qp/1P2P3/P4PPP/RN3RK1 b - - 0 16,dxc4
1k3r1r/ppp3p1/2q5/8/2Q4p/1P2P3/P4PPP/RN3RK1 b - - 0 17,Qd6
1k3r1r/ppp3p1/3q4/8/2Q4p/1PN1P3/P4PPP/R4RK1 b - - 2 18,h3
1k3r1r/ppp3p1/3q4/1N6/2Q5/1P2P2p/P4PPP/R4RK1 b - - 1 19,Qxh2+
1k3r1r/ppp3p1/8/1N6/2Q5/1P2P2p/P4PPK/R4R2 b - - 0 20,hxg2+
1k3r1r/ppp3p1/8/1N6/2Q5/1P2P3/P4PK1/R4R2 b - - 0 21,c6
1k3r1r/pp4p1/2pN4/8/2Q5/1P2P3/P4PK1/R4R2 b - - 1 22,Rf6
1k5r/pp4p1/2p2r2/8/2Q1N3/1P2P3/P4PK1/R4R2 b - - 3 23,Rfh6
1k5r/pp4p1/2p4r/8/2Q1N3/1P2PK2/P4P2/R4R2 b - - 5 24,Rh3+
1k5r/pp4p1/2p5/8/2Q1N3/1P2P2r/P3KP2/R4R2 b - - 7 25,Rc8
1kr5/pp4p1/2pN4/8/2Q5/1P2P2r/P3KP2/R4R2 b - - 9 26,Rd8
1k1r4/pp4p1/2pN4/8/5Q2/1P2P2r/P3KP2/R4R2 b - - 11 27,Rhh8
1k1r3r/pp3Np1/2p5/8/5Q2/1P2P3/P3KP2/R4R2 b - - 13 28,Kc8
rnbqkbnr/pppppppp/8/8/8/8/PPPPPPPP/RNBQKBNR w KQkq - 0 1,e4
rnbqkbnr/pppp1ppp/8/4p3/4P3/8/PPPP1PPP/RNBQKBNR w KQkq - 0 2,Nf3
r1bqkbnr/pppp1ppp/2n5/4p3/4P3/5N2/PPPP1PPP/RNBQKB1R w KQkq - 2 3,Bc4
r1bqkb1r/pppp1ppp/2n2n2/4p3/2B1P3/5N2/PPPP1PPP/RNBQK2R w KQkq - 4 4,d3
r1bqk2r/pppp1ppp/2n2n2/2b1p3/2B1P3/3P1N2/PPP2PPP/RNBQK2R w KQkq - 1 5,Be3
r1bq1rk1/pppp1ppp/2n2n2/2b1p3/2B1P3/3PBN2/PPP2PPP/RN1QK2R w KQ - 3 6,Bxc5
r1bq1rk1/p1pp1ppp/1pn2n2/2B1p3/2B1P3/3P1N2/PPP2PPP/RN1QK2R w KQ - 0 7,Bxf8
r2q1Bk1/pbpp1ppp/1pn2n2/4p3/2B1P3/3P1N2/PPP2PPP/RN1QK2R w KQ - 1 8,Ba3
r2q2k1/pbpp1ppp/1p3n2/n3p3/2B1P3/B2P1N2/PPP2PPP/RN1QK2R w KQ - 3 9,Bb3
r2q2k1/pbpp1ppp/1p3n2/4p3/4P3/Bn1P1N2/PPP2PPP/RN1QK2R w KQ - 0 10,axb3
r2q2k1/pb1p1ppp/1p3n2/2p1p3/4P3/BP1P1N2/1PP2PPP/RN1QK2R w KQ - 0 11,O-O
r5k1/pbqp1ppp/1p3n2/2p1p3/4P3/BP1P1N2/1PP2PPP/RN1Q1RK1 w - - 2 12,c3
3r2k1/pbqp1ppp/1p3n2/2p1p3/4P3/BPPP1N2/1P3PPP/RN1Q1RK1 w - - 1 13,d4
3r2k1/pbq2ppp/1p1p1n2/2p1p3/3PP3/BPP2N2/1P3PPP/RN1Q1RK1 w - - 0 14,dxe5
3r2k1/pbq2ppp/1p3n2/2p1p3/4P3/BPP2N2/1P3PPP/RN1Q1RK1 w - - 0 15,Qe2
4r1k1/pbq2ppp/1p3n2/2p1p3/4P3/BPP2N2/1P2QPPP/RN3RK1 w - - 2 16,Nbd2
4r1k1/pb3ppp/1pq2n2/2p1p3/4P3/BPP2N2/1P1NQPPP/R4RK1 w - - 4 17,Nc4
4r1k1/pb3ppp/1pq5/2p1p3/2N1n3/BPP2N2/1P2QPPP/R4RK1 w - - 0 18,Qxe4
4r1k1/pb3ppp/1p6/2p1p3/2N1q3/BPP2N2/1P3PPP/R4RK1 w - - 0 19,Rfe1
4r1k1/pb3ppp/1p4q1/2p1p3/2N5/BPP2N2/1P3PPP/R3R1K1 w - - 2 20,Re3
4r1k1/pb3ppp/1p4q1/2p5/2N1p3/BPP1RN2/1P3PPP/R5K1 w - - 0 21,Nh4
4r1k1/pb3ppp/1p6/2p3q1/2N1p2N/BPP1R3/1P3PPP/R5K1 w - - 2 22,g3
4r1k1/p4ppp/1p6/2pb2q1/2N1p2N/BPP1R1P1/1P3P1P/R5K1 w - - 1 23,Rae1
4r1k1/p4ppp/1p6/2p3q1/2b1p2N/BPP1R1P1/1P3P1P/4R1K1 w - - 0 24,bxc4
4r1k1/p5pp/1p6/2p2pq1/2P1p2N/B1P1R1P1/1P3P1P/4R1K1 w - - 0 25,b4
4r1k1/p5pp/1p6/2p3q1/1PP1pp1N/B1P1R1P1/5P1P/4R1K1 w - - 0 26,Rxe4
6k1/p5pp/1p6/2p3q1/1PP1rp1N/B1P3P1/5P1P/4R1K1 w - - 0 27,Rxe4
6k1/p5pp/1p6/2p3q1/1PP1R2N/B1P3p1/5P1P/6K1 w - - 0 28,Re8+
4R3/p4kpp/1p6/2p3q1/1PP4N/B1P3p1/5P1P/6K1 w - - 2 29,Re1
8/p4kpp/1p6/2p5/1PP4q/B1P3p1/5P1P/4R1K1 w - - 0 30,fxg3
8/p4kpp/1p6/2p5/1Pq5/B1P3P1/7P/4R1K1 w - - 0 31,Bc1
8/p4kpp/1p6/2p5/1P6/2q3P1/7P/2B1R1K1 w - - 0 32,Rf1+
8/p5pp/1p4k1/2p5/1P6/2q3P1/7P/2B2RK1 w - - 2 33,Bf4
8/p5pp/1p4k1/2p5/1P1q1B2/6P1/7P/5RK1 w - - 4 34,Kg2
8/p5pp/1p4k1/2p5/1P2qB2/6P1/6KP/5R2 w - - 6 35,Rf3
8/p5pp/1p4k1/8/1p2qB2/5RP1/6KP/8 w - - 0 36,Kh3
8/p5pp/1p4k1/8/1p3B2/5qPK/7P/8 w - - 0 37,Bg5
rnbqkbnr/pppppppp/8/8/4P3/8/PPPP1PPP/RNBQKBNR b KQkq - 0 1,c5
rnbqkbnr/pp1ppppp/8/2p5/4P3/2P5/PP1P1PPP/RNBQKBNR b KQkq - 0 2,Nc6
r1bqkbnr/pp1ppppp/2n5/2p5/3PP3/2P5/PP3PPP/RNBQKBNR b KQkq - 0 3,cxd4
r1bqkbnr/pp1ppppp/2n5/8/3PP3/8/PP3PPP/RNBQKBNR b KQkq - 0 4,d5
r1bqkbnr/pp2pppp/2n5/3P4/3P4/8/PP3PPP/RNBQKBNR b KQkq - 0 5,Qxd5
r1b1kbnr/pp2pppp/2n5/3q4/3P4/5N2/PP3PPP/RNBQKB1R b KQkq - 1 6,Nf6
r1b1kb1r/pp2pppp/2n2n2/3q4/3P4/2N2N2/PP3PPP/R1BQKB1R b KQkq - 3 7,Qd8
r1bqkb1r/pp2pppp/2n2n2/1B6/3P4/2N2N2/PP3PPP/R1BQK2R b KQkq - 5 8,a6
r1bqkb1r/1p2pppp/p1n2n2/8/2BP4/2N2N2/PP3PPP/R1BQK2R b KQkq - 1 9,Bg4
r2qkb1r/1p2pppp/p1n2n2/8/2BP2b1/2N2N2/PP3PPP/R1BQ1RK1 b kq - 3 10,e6
r2qkb1r/1p3ppp/p1n1pn2/6B1/2BP2b1/2N2N2/PP3PPP/R2Q1RK1 b kq - 1 11,Be7
r2qk2r/1p2bppp/p1n1pn2/6B1/2BP2b1/2NQ1N2/PP3PPP/R4RK1 b kq - 3 12,Bxf3
r2qk2r/1p2bppp/p1n1pn2/6B1/2BP4/2N2Q2/PP3PPP/R4RK1 b kq - 0 13,O-O
r2q1rk1/1p2bppp/p1n1pn2/6B1/3P4/2NB1Q2/PP3PPP/R4RK1 b - - 2 14,Nxd4
r2q1rk1/1p2bppp/p3pn2/6B1/3n4/2NB4/PP3PPP/R2Q1RK1 b - - 1 15,Nd5
r2q1rk1/1p2bppp/p3p3/3N2B1/3n4/3B4/PP3PPP/R2Q1RK1 b - - 0 16,exd5
r2q1rk1/1p2bppp/p7/3p4/3n4/3BB3/PP3PPP/R2Q1RK1 b - - 1 17,Ne6
r2q1rk1/1p2bppp/p3n3/3p4/8/3BB3/PP3PPP/2RQ1RK1 b - - 3 18,Rc8
2rq1rk1/1p2bppp/p3n3/3p4/8/4B3/PP3PPP/1BRQ1RK1 b - - 5 19,Bf6
2rq1rk1/1p3ppp/p3nb2/3p4/8/3QB3/PP3PPP/1BR2RK1 b - - 7 20,g6
2rq1rk1/1p3p1p/p3nbp1/3p4/7P/3QB3/PP3PP1/1BR2RK1 b - - 0 21,Rxc1
3q1rk1/1p3p1p/p3nbp1/3p4/7P/3QB3/PP3PP1/1BR3K1 b - - 0 22,Bxb2
3q1rk1/1p3p1p/p3n1p1/3p4/7P/3QB3/PbR2PP1/1B4K1 b - - 1 23,Bg7
3q1rk1/1p3pbp/p3n1p1/3p3P/8/3QB3/P1R2PP1/1B4K1 b - - 0 24,Qf6
5rk1/1p3pbp/p3nqp1/3p3P/8/3QB3/P3RPP1/1B4K1 b - - 2 25,Nf4
5rk1/1p3pbp/p4qp1/3p3P/5n2/4B3/P2QRPP1/1B4K1 b - - 4 26,Nxe2+
5rk1/1p3pbp/p4qp1/3p3P/8/4B3/P3QPP1/1B4K1 b - - 0 27,gxh5
5rk1/1p3pbp/p4q2/3p3p/8/3QB3/P4PP1/1B4K1 b - - 1 28,Rc8
2r3k1/1p3pbp/p4q2/3p3p/3B4/3Q4/P4PP1/1B4K1 b - - 3 29,Rc1+
6k1/1p3pbp/p4q2/3p3p/3B4/3Q4/P4PPK/1Br5 b - - 5 30,Qh4+
6k1/1p3pbp/p7/3p3p/3B3q/7Q/P4PPK/1Br5 b - - 7 31,Qxh3+
6k1/1p3pbp/p7/3p3p/3B4/7P/P4P1K/1Br5 b - - 0 32,Rxb1
6k1/1p3pBp/p7/3p3p/8/7P/P4P1K/1r6 b - - 0 33,Kxg7
rnbqkbnr/pppppppp/8/8/3P4/8/PPP1PPPP/RNBQKBNR b KQkq - 0 1,d5
rnbqkbnr/ppp1pppp/8/3p4/3P1B2/8/PPP1PPPP/RN1QKBNR b KQkq - 1 2,Nf6
rnbqkb1r/ppp1pppp/5n2/3p4/3P1B2/4P3/PPP2PPP/RN1QKBNR b KQkq - 0 3,Bf5
rn1qkb1r/ppp1pppp/5n2/3p1b2/3P1B2/3BP3/PPP2PPP/RN1QK1NR b KQkq - 2 4,Bxd3
rn1qkb1r/ppp1pppp/5n2/3p4/3P1B2/3QP3/PPP2PPP/RN2K1NR b KQkq - 0 5,e6
rn1qkb1r/ppp2ppp/4pn2/3p4/3P1B2/2PQP3/PP3PPP/RN2K1NR b KQkq - 0 6,Bd6
rn1qk2r/ppp2ppp/3bpn2/3p4/3P1B2/2PQPN2/PP3PPP/RN2K2R b KQkq - 2 7,Bxf4
rn1qk2r/ppp2ppp/4pn2/3p4/3P1P2/2PQ1N2/PP3PPP/RN2K2R b KQkq - 0 8,Nc6
r2qk2r/ppp2ppp/2n1pn2/3p4/3P1P2/2PQ1N2/PP1N1PPP/R3K2R b KQkq - 2 9,Qe7
r3k2r/ppp1qppp/2n1pn2/3pN3/3P1P2/2PQ4/PP1N1PPP/R3K2R b KQkq - 4 10,Nxe5
r3k2r/ppp1qppp/4pn2/3pP3/3P4/2PQ4/PP1N1PPP/R3K2R b KQkq - 0 11,Nd7
r3k2r/pppnqppp/4p3/3pP3/3P1P2/2PQ4/PP1N2PP/R3K2R b KQkq - 0 12,c5
r3k2r/pp1nqppp/4p3/2ppP3/3P1P2/2PQ4/PP1N2PP/R4RK1 b kq - 1 13,c4
r3k2r/pp1nqppp/4p3/3pP3/2pP1P2/2P5/PPQN2PP/R4RK1 b kq - 1 14,O-O
r4rk1/pp1nqppp/4p3/3pP3/2pP1P2/1PP5/P1QN2PP/R4RK1 b - - 0 15,f6
r4rk1/pp1nq1pp/4pp2/3pP3/2pP1P2/1PP2R2/P1QN2PP/R5K1 b - - 1 16,cxb3
r4rk1/pp1nq1pp/4pp2/3pP3/3P1P2/1PP2R2/2QN2PP/R5K1 b - - 0 17,fxe5
r4rk1/pp1nq1pp/4p3/3pp3/3P1P2/1PP4R/2QN2PP/R5K1 b - - 1 18,g6
r4rk1/pp1nq2p/4p1p1/3pP3/3P4/1PP4R/2QN2PP/R5K1 b - - 0 19,Rf5
r5k1/pp1nq2p/4p1p1/3pPr2/3P4/1PP4R/2QN2PP/5RK1 b - - 2 20,Raf8
