fen,move
r3kb1r/p1p1pppp/np1q4/8/1n6/2NP1N2/PPP2PPP/R1BQ1RK1 w kq - 2 9,Ne4
r3kb1r/p1p1pppp/np3q2/8/1n2N3/3P1N2/PPP2PPP/R1BQ1RK1 w kq - 4 10,Nxf6+
r3kb1r/p1p1pp1p/np3p2/8/1n6/3P1N2/PPP2PPP/R1BQ1RK1 w kq - 0 11,a3
r3kb1r/p1p1pp1p/np3p2/3n4/8/P2P1N2/1PP2PPP/R1BQ1RK1 w kq - 1 12,c4
3rkb1r/p1p1pp1p/np3p2/3n4/2P5/P2P1N2/1P3PPP/R1BQ1RK1 w k - 1 13,cxd5
4kb1r/p1p1pp1p/np3p2/3r4/8/P2P1N2/1P3PPP/R1BQ1RK1 w k - 0 14,Qa4+
4kb1r/p1prpp1p/np3p2/8/Q7/P2P1N2/1P3PPP/R1B2RK1 w k - 2 15,Qxa6
3rkb1r/p1p1pp1p/Qp3p2/8/8/P2P1N2/1P3PPP/R1B2RK1 w k - 1 16,Qxa7
3r1b1r/Q1pkpp1p/1p3p2/8/8/P2P1N2/1P3PPP/R1B2RK1 w - - 1 17,Bf4
3r1b1r/Q1pk1p1p/1p3p2/4p3/5B2/P2P1N2/1P3PPP/R4RK1 w - - 0 18,Nxe5+
3r1b1r/Q1pk1p1p/1p6/4p3/5B2/P2P4/1P3PPP/R4RK1 w - - 0 19,Bxe5
3r1b1r/Q1p2p1p/1p2k3/4B3/8/P2P4/1P3PPP/R4RK1 w - - 1 20,Bxc7
5b1r/Q1B2p1p/1p2k3/8/8/P2r4/1P3PPP/R4RK1 w - - 0 21,Qxb6+
5b1r/2Bk1p1p/1Q6/8/8/P2r4/1P3PPP/R4RK1 w - - 1 22,Qb5+
5b1r/2B2p1p/4k3/1Q6/8/P2r4/1P3PPP/R4RK1 w - - 3 23,Rfd1
5b1r/2B2p1p/3rk3/1Q6/8/P7/1P3PPP/R2R2K1 w - - 5 24,Qe8+
4Qb1r/2B2p1p/3r1k2/8/8/P7/1P3PPP/R2R2K1 w - - 7 25,Bxd6
4Q2r/5p1p/3b1k2/8/8/P7/1P3PPP/R2R2K1 w - - 0 26,Qxh8+
